Name    type   mass         radius  size  eccentricity X             Y   Z                        Texture
Sun     star   333000       109.198 10    0            0             0.0 0.0                      sun
mercury planet 0.0553       0.383   0.05  0.205        0.39          0.0 0.047920526139839686     mercury
venus   planet 0.815        0.950   0.1   0.007        0.723         0.0 0.042886999764635406     venus
earth   planet 1            1.0     0.1   0.017        1             0.0 0.0                      earth2
Mars    planet 0.107        0.532   0.07  0.093        1.524         0.0 0.04925154723410809      mars
Jupiter planet 317.83       10.973  1.5   0.048        5.203         0.0 0.11852686949351274      jupiter
Saturn  planet 95.162       9.140   1     0.056        9.539         0.0 0.41381289763034174      saturn
Uranus  planet 14.536       3.981   0.5   0.047        19.18         0.0 0.2577762148840392       uranus
Neptune planet 17.147       3.865   0.5   0.009        30.06         0.0 0.9283937447994522       neptune
Pluto   planet 0.00218      0.186   0.05  0.1716       39.48         0.0 12.177320387523908       pluto
luna    moon   0.0122994193 0.273   0.05  -0.0549      0.9974304813  0.0 0.00023140108321808612   moon
io      moon   0.0149512889 0.286   0.05  -0.0041      5.20018114974 0.0 0.0000024600422053040927 moon
